""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"58"	0	1.59485128987987	0.711	0.128	0	"1"	"FCN1"
"59"	0	1.59198872396916	0.438	0.055	0	"1"	"LGALS2"
"60"	0	1.50016445757695	0.396	0.048	0	"1"	"MS4A6A"
"61"	0	1.46714858282155	0.954	0.258	0	"1"	"TYROBP"
"62"	0	1.43646611362541	0.367	0.04	0	"1"	"CD14"
"63"	0	1.43378891886067	0.362	0.055	0	"1"	"CSTA"
"64"	0	1.40689235930662	0.449	0.076	0	"1"	"MNDA"
"65"	0	1.37510762370699	0.884	0.239	0	"1"	"CST3"
"66"	0	1.34210469222448	0.557	0.16	0	"1"	"AP1S2"
"67"	0	1.28893769055911	0.847	0.286	0	"1"	"LGALS1"
"68"	0	1.27448927010547	0.6	0.147	0	"1"	"IFI30"
"69"	0	1.24901643099475	0.28	0.033	0	"1"	"CD36"
"70"	0	1.23030833473735	0.279	0.036	0	"1"	"CSF3R"
"71"	0	1.21414794036322	0.612	0.212	0	"1"	"GPX1"
"72"	0	1.20819803765855	0.675	0.2	0	"1"	"DUSP1"
"73"	0	1.12805572139585	0.894	0.234	0	"1"	"AIF1"
"74"	0	1.09627531980195	0.622	0.211	0	"1"	"SRGN"
"75"	0	1.09387128410592	0.786	0.21	0	"1"	"FCER1G"
"76"	0	1.08561904942158	0.645	0.225	0	"1"	"PSAP"
"77"	0	1.07314405976374	0.999	0.772	0	"1"	"FTL"
"78"	0	1.05934502902636	0.972	0.549	0	"1"	"S100A6"
"79"	0	1.05864173305722	0.591	0.192	0	"1"	"CTSS"
"80"	0	1.05293841044078	0.846	0.382	0	"1"	"NEAT1"
"81"	0	1.00318254540924	0.7	0.291	0	"1"	"S100A11"
"82"	0	0.994470380463137	0.994	0.722	0	"1"	"FTH1"
"83"	1.29494807663093e-307	1.08215503707446	0.404	0.096	3.51151069940008e-303	"1"	"SERPINA1"
"84"	3.5523365941279e-305	1.12909749201041	0.462	0.136	9.63287114229663e-301	"1"	"TYMP"
"85"	4.30198763977082e-275	1.14767562817008	0.393	0.106	1.16656998827665e-270	"1"	"CFD"
"86"	6.20584670965547e-257	1.19815003664821	0.303	0.064	1.68283945225728e-252	"1"	"CEBPD"
"87"	1.23554472810127e-240	1.03587549025738	0.302	0.066	3.35042663919222e-236	"1"	"CYBB"
"88"	3.43016654049217e-225	0.913719470471588	0.529	0.227	9.30158260785261e-221	"1"	"TSPO"
"89"	1.05181199982768e-209	0.989040191209197	0.429	0.16	2.85219859993271e-205	"1"	"SDCBP"
"90"	2.11198156292213e-208	1.01311761153148	0.261	0.056	5.72706040417594e-204	"1"	"FGL2"
"91"	7.66895554175057e-205	0.997693368951763	0.256	0.055	2.0795906742565e-200	"1"	"CLEC12A"
"92"	5.45671659449929e-195	0.993464200446801	0.236	0.048	1.47969783893037e-190	"1"	"CLEC7A"
"93"	8.64249498627925e-195	1.01144480914934	0.183	0.026	2.34358536542934e-190	"1"	"RBP7"
"94"	7.03809105918236e-183	1.01251659657012	0.329	0.106	1.90851915251848e-178	"1"	"FCGRT"
"95"	1.39540538351654e-179	1.09160250247961	0.323	0.109	3.78392077848179e-175	"1"	"GRN"
"96"	3.37998019332369e-175	0.981937032811306	0.23	0.052	9.16549229023584e-171	"1"	"RGS2"
"97"	1.82929452532459e-174	0.94425491328996	0.247	0.061	4.96049796432269e-170	"1"	"CFP"
"98"	2.78755050621855e-172	0.917977394688515	0.231	0.053	7.55900070771284e-168	"1"	"IGSF6"
"99"	2.5777467751578e-163	0.947828889342517	0.269	0.077	6.99007593019541e-159	"1"	"GCA"
"100"	9.46077120324824e-157	0.960878393517322	0.184	0.036	2.56547732718483e-152	"1"	"DUSP6"
"101"	0	2.72026400142743	0.558	0.073	0	"2"	"GNLY"
"102"	0	2.65378297318295	0.79	0.094	0	"2"	"CCL5"
"103"	0	2.58108365519494	0.661	0.076	0	"2"	"NKG7"
"104"	0	2.0926957717017	0.446	0.047	0	"2"	"GZMA"
"105"	0	1.86170270261709	0.259	0.024	0	"2"	"GZMH"
"106"	0	1.82836313442656	0.254	0.022	0	"2"	"GZMK"
"107"	0	1.80289192416648	0.324	0.037	0	"2"	"CST7"
"108"	0	1.78810697530876	0.424	0.089	0	"2"	"KLRB1"
"109"	0	1.72001967211788	0.286	0.033	0	"2"	"CTSW"
"110"	0	1.29941413117461	0.749	0.288	0	"2"	"IL32"
"111"	0	0.688921978527012	0.998	0.977	0	"2"	"B2M"
"112"	3.16009059249063e-262	1.48431639283042	0.198	0.018	8.56921765965683e-258	"2"	"PRF1"
"113"	3.55406369985649e-262	1.59178088027205	0.205	0.02	9.63755453490085e-258	"2"	"KLRD1"
"114"	4.64773175877879e-261	1.57523030242005	0.262	0.04	1.26032542102804e-256	"2"	"AC092580.4"
"115"	2.95901790735888e-205	1.40966309618451	0.181	0.021	8.02396885938507e-201	"2"	"GZMB"
"116"	2.41252516734461e-202	1.47823552719719	0.154	0.014	6.54204449628837e-198	"2"	"KLRF1"
"117"	1.4966153583859e-192	1.3311240724653	0.151	0.014	4.05837186733506e-188	"2"	"CCL4"
"118"	8.65712862512758e-180	1.08247279327899	0.484	0.21	2.34755356927585e-175	"2"	"CD3D"
"119"	4.01997262304243e-175	1.48261994753839	0.21	0.04	1.09009597619042e-170	"2"	"DUSP2"
"120"	7.0219974306595e-170	1.28467911869695	0.13	0.012	1.90415504327194e-165	"2"	"TRDC"
"121"	4.63997072084569e-166	1.28376736908948	0.139	0.015	1.25822086037172e-161	"2"	"TRGC2"
"122"	4.13404105423265e-164	0.76339991423105	0.755	0.605	1.12102791267627e-159	"2"	"HLA-C"
"123"	7.44787100583581e-156	1.24362698390795	0.158	0.023	2.0196391806525e-151	"2"	"KLRG1"
"124"	1.41133961673401e-155	1.19382138707193	0.128	0.013	3.82712963869762e-151	"2"	"FGFBP2"
"125"	8.92486978109537e-143	1.00142006342061	0.501	0.272	2.42015693853963e-138	"2"	"HCST"
"126"	4.52862493147248e-133	1.16945524485839	0.192	0.044	1.22802722266739e-128	"2"	"GZMM"
"127"	2.95633318862944e-112	1.46839880042211	0.218	0.067	8.01668870760644e-108	"2"	"CMC1"
"128"	3.59760250425534e-89	0.954434578924912	0.298	0.133	9.7556187107892e-85	"2"	"IFITM1"
"129"	1.07198980097099e-84	1.00643368662709	0.112	0.023	2.90691474329303e-80	"2"	"HOPX"
"130"	1.1701577214005e-73	0.812881371318534	0.338	0.178	3.17311669312174e-69	"2"	"PTPRCAP"
"131"	4.37775044904726e-67	0.92467507617372	0.198	0.078	1.18711458926815e-62	"2"	"CD7"
"132"	4.42726228072707e-65	0.739544888603783	0.467	0.333	1.20054071266476e-60	"2"	"CALM1"
"133"	4.72140383192554e-65	0.832025740261789	0.247	0.113	1.28030307710325e-60	"2"	"CD3E"
"134"	1.2934769792214e-64	0.926281102303018	0.179	0.067	3.50752152455466e-60	"2"	"CD2"
"135"	9.23572277755917e-64	0.742698850103611	0.308	0.159	2.50445094559072e-59	"2"	"TRBC2"
"136"	7.11572258345587e-62	0.757294963267907	0.305	0.16	1.92957049295573e-57	"2"	"TRAC"
"137"	3.72046117395075e-61	0.826876216878136	0.238	0.109	1.00887745654022e-56	"2"	"CD3G"
"138"	9.63600630429024e-61	0.668456779262806	0.497	0.376	2.61299582953438e-56	"2"	"MYL12A"
"139"	1.89979302377364e-58	0.858810823895933	0.122	0.037	5.15166874256699e-54	"2"	"CD247"
"140"	7.78397816763655e-56	1.10519772298093	0.194	0.087	2.110781359718e-51	"2"	"LYAR"
"141"	2.12686904324527e-53	0.77215212394504	0.194	0.084	5.76743078456819e-49	"2"	"LCK"
"142"	1.47183796037862e-50	0.657616652882238	0.325	0.191	3.99118299715869e-46	"2"	"PCED1B-AS1"
"143"	2.47744853973781e-43	0.736596013142334	0.207	0.103	6.71809720520701e-39	"2"	"RARRES3"
"144"	1.56683316045705e-42	0.721659290573	0.185	0.087	4.24878148121138e-38	"2"	"LINC00861"
"145"	1.89662403173707e-27	0.820001641886977	0.2	0.122	5.14307538686141e-23	"2"	"PPP2R5C"
"146"	3.18190900326624e-22	0.73287985607473	0.142	0.08	8.62838264415705e-18	"2"	"ARL4C"
"147"	2.79029470897838e-21	0.828177489134972	0.15	0.089	7.56644216233668e-17	"2"	"C12orf75"
"148"	4.30890981076951e-20	0.654714215634068	0.243	0.176	1.16844707338637e-15	"2"	"CD99"
"149"	1.96822589668929e-16	0.631237645994318	0.176	0.118	5.33723816405235e-12	"2"	"RNF213"
"150"	9.16913159381954e-15	0.699377126490874	0.216	0.165	2.48639341429605e-10	"2"	"ID2"
"151"	0	2.24509507499199	0.536	0.037	0	"3"	"IGHM"
"152"	0	2.1663250461571	0.502	0.057	0	"3"	"CD79B"
"153"	0	2.15816162673411	0.437	0.031	0	"3"	"CD79A"
"154"	0	2.14098201551144	0.391	0.026	0	"3"	"MS4A1"
"155"	0	2.07389174431025	0.324	0.02	0	"3"	"IGHD"
"156"	0	1.92181661721671	0.296	0.017	0	"3"	"LINC00926"
"157"	0	1.85973549825479	0.229	0.013	0	"3"	"TCL1A"
"158"	0	1.61147215195171	0.98	0.471	0	"3"	"CD74"
"159"	0	1.41003825957741	0.879	0.336	0	"3"	"HLA-DRA"
"160"	0	1.0788497217204	0.271	0.024	0	"3"	"IGLC3"
"161"	8.90215491384513e-289	1.07317594620526	0.234	0.022	2.41399734798738e-284	"3"	"IGLC2"
"162"	2.91434353765842e-287	1.52320505478443	0.174	0.008	7.90282537106833e-283	"3"	"VPREB3"
"163"	2.594760855275e-238	1.38403993877557	0.171	0.012	7.03621301124923e-234	"3"	"BANK1"
"164"	1.43412171180177e-204	1.23168162351873	0.134	0.008	3.88890784589285e-200	"3"	"CD22"
"165"	1.3371049350362e-199	1.04151983372685	0.617	0.286	3.62582745233768e-195	"3"	"HLA-DRB1"
"166"	1.22997656065878e-192	1.08121136179593	0.542	0.228	3.33532743953842e-188	"3"	"HLA-DPB1"
"167"	8.80088844859765e-191	1.24256297254709	0.12	0.006	2.38653692060622e-186	"3"	"RP5-887A10.1"
"168"	1.44882308018339e-180	1.22127947711332	0.127	0.009	3.9287735465333e-176	"3"	"RP11-693J15.5"
"169"	1.55930608980269e-180	0.923809405982937	0.679	0.364	4.22837032371797e-176	"3"	"LTB"
"170"	8.23904832183997e-170	1.15385836886174	0.109	0.006	2.23418273343334e-165	"3"	"FCER2"
"171"	1.55247367117702e-150	0.571756972332441	0.904	0.754	4.20984285413071e-146	"3"	"RPS5"
"172"	2.42749216356971e-150	1.12531808596859	0.503	0.244	6.58263049995198e-146	"3"	"CD37"
"173"	2.36002050894765e-145	1.10175968311626	0.117	0.01	6.39966761411333e-141	"3"	"P2RX5"
"174"	8.66175554759431e-126	0.96257687424983	0.455	0.209	2.34880825184115e-121	"3"	"HLA-DPA1"
"175"	1.04750747580107e-125	1.05568725739929	0.109	0.011	2.84052602212977e-121	"3"	"ADAM28"
"176"	4.17558277874956e-95	1.10007521933955	0.136	0.026	1.13229278211352e-90	"3"	"HVCN1"
"177"	3.19594968756286e-77	1.15774547356799	0.253	0.102	8.66645676776422e-73	"3"	"MEF2C"
"178"	9.9179613064567e-70	0.998683233049912	0.242	0.099	2.68945356747186e-65	"3"	"HLA-DQB1"
"179"	1.08824843857919e-66	1.01156813522471	0.109	0.024	2.9510032908952e-62	"3"	"PPAPDC1B"
"180"	1.75588832890284e-63	0.942185561390762	0.184	0.065	4.76144238148582e-59	"3"	"HLA-DQA1"
"181"	5.59235224907578e-58	1.00707749313229	0.106	0.026	1.51647815938188e-53	"3"	"IL4R"
"182"	1.42394559981897e-54	0.941240729918997	0.244	0.115	3.86131328302909e-50	"3"	"HLA-DMA"
"183"	7.34837505161479e-53	1.06913902437471	0.132	0.042	1.99265886274638e-48	"3"	"BCL11A"
"184"	7.47638623988844e-43	0.772575767068978	0.105	0.032	2.02737165667055e-38	"3"	"IRF8"
"185"	7.33281530250477e-39	0.869838561952623	0.177	0.08	1.98843952558022e-34	"3"	"HLA-DRB5"
"186"	2.49746787182106e-38	0.842453270051083	0.128	0.049	6.77238362801717e-34	"3"	"HLA-DQA2"
"187"	1.34065294355902e-34	0.783090829664933	0.251	0.145	3.63544858704899e-30	"3"	"CXCR4"
"188"	3.07209963852241e-33	0.663543052914626	0.395	0.294	8.33061258978121e-29	"3"	"SEC62"
"189"	1.02367947304649e-31	0.77311238997781	0.208	0.113	2.77591162706017e-27	"3"	"RCSD1"
"190"	2.77843709457203e-31	0.711484581847946	0.107	0.04	7.53428786935097e-27	"3"	"FAIM3"
"191"	6.50640629081822e-26	0.536722880942761	0.293	0.191	1.76434219388118e-21	"3"	"PTPRCAP"
"192"	8.861791734352e-25	0.751798467194002	0.139	0.068	2.40305206460423e-20	"3"	"HLA-DMB"
"193"	3.0237803142045e-24	0.632165806655444	0.21	0.124	8.19958507802834e-20	"3"	"ISG20"
"194"	1.32746664281164e-21	0.824701529160553	0.148	0.081	3.59969129531231e-17	"3"	"STX7"
"195"	3.8578946149283e-18	0.585190007888293	0.179	0.109	1.04614528273011e-13	"3"	"TSTD1"
"196"	2.55328905272806e-15	0.606517672064673	0.161	0.101	6.92375392428268e-11	"3"	"SP110"
"197"	2.86358830584539e-14	0.620733641477686	0.106	0.058	7.76519240896095e-10	"3"	"MARCH1"
"198"	1.98992305174139e-11	0.574885594481192	0.14	0.091	5.39607433940712e-07	"3"	"POU2F2"
"199"	6.80931587137145e-11	0.690804040729712	0.134	0.089	1.8464821848398e-06	"3"	"SYPL1"
"200"	2.37878380820043e-09	0.548378300548736	0.175	0.131	6.4505480526971e-05	"3"	"PARP1"
"201"	0	1.68587612280071	0.952	0.31	0	"4"	"S100A8"
"202"	7.21694186041786e-306	1.39809065122322	0.903	0.317	1.95701812428951e-301	"4"	"S100A9"
"203"	2.09257484085864e-282	1.53483871699605	0.854	0.326	5.67443519595638e-278	"4"	"FOS"
"204"	2.89262722115672e-250	1.42823739570142	0.841	0.317	7.84393723561068e-246	"4"	"LYZ"
"205"	1.09326069807921e-224	0.965882224659399	0.989	0.807	2.9645950349814e-220	"4"	"FTL"
"206"	1.08833324451557e-185	1.605342283868	0.646	0.235	2.95123325915288e-181	"4"	"RP11-1143G9.4"
"207"	5.99575407502032e-185	0.975941567338347	0.947	0.767	1.62586863252326e-180	"4"	"FTH1"
"208"	3.88834125928084e-171	1.11742451548782	0.789	0.376	1.05440149927919e-166	"4"	"TYROBP"
"209"	1.45372244465789e-165	1.60420468067101	0.49	0.149	3.9420591531788e-161	"4"	"S100A12"
"210"	1.19346839304641e-158	0.96806583971355	0.876	0.62	3.23632824142395e-154	"4"	"S100A6"
"211"	1.30207537455852e-130	1.07237989383471	0.705	0.348	3.53083779319033e-126	"4"	"AIF1"
"212"	1.20841672997941e-110	1.447363556117	0.553	0.281	3.27686364668518e-106	"4"	"DUSP1"
"213"	4.20128187446095e-67	0.835937864501739	0.554	0.311	1.13926160589758e-62	"4"	"LST1"
"214"	1.22197317486451e-57	1.11032221692613	0.432	0.236	3.31362465828009e-53	"4"	"FCN1"
"215"	9.3392813680184e-46	0.868271108714624	0.552	0.392	2.53253292856555e-41	"4"	"LGALS1"
"216"	5.47869916513235e-45	1.28460432828777	0.318	0.159	1.48565885260894e-40	"4"	"VCAN"
"217"	1.08492463562437e-33	1.01298009402759	0.412	0.288	2.9419901344226e-29	"4"	"SRGN"
"218"	1.64446643855311e-28	1.24769094461495	0.218	0.107	4.45929964142447e-24	"4"	"CYBB"
"219"	2.99621540815857e-27	1.14768803053699	0.208	0.101	8.12483732230359e-23	"4"	"CD14"
"220"	2.85868866107428e-22	0.800597957838138	0.443	0.371	7.75190604223513e-18	"4"	"S100A11"
"221"	4.82424784816583e-21	1.08580036535714	0.129	0.053	1.30819128898713e-16	"4"	"RBP7"
"222"	2.34723739935936e-20	1.03737263620452	0.242	0.147	6.36500365584278e-16	"4"	"MNDA"
"223"	4.48177806276691e-17	0.809519877101704	0.347	0.27	1.2153237572805e-12	"4"	"CTSS"
"224"	5.43808539203431e-17	1.03413683399325	0.289	0.211	1.47464561575794e-12	"4"	"SDCBP"
"225"	4.54944546926685e-14	1.02398583478467	0.164	0.094	1.23367312790109e-09	"4"	"FGL2"
"226"	6.51875143516421e-14	1.04533481749908	0.146	0.08	1.76768982667348e-09	"4"	"CD36"
"227"	5.23090420610814e-13	0.802062228920371	0.343	0.291	1.41846429357034e-08	"4"	"GPX1"
"228"	7.12918940471041e-13	0.96395452938407	0.264	0.2	1.93322229087532e-08	"4"	"TYMP"
"229"	4.74979397342103e-12	1.09178080682477	0.177	0.112	1.28800163177258e-07	"4"	"GCA"
"230"	3.11418862237469e-10	0.870100712153141	0.216	0.156	8.44474528729346e-06	"4"	"SERPINA1"
"231"	1.08332409215223e-09	0.838388300274628	0.318	0.288	2.9376499406892e-05	"4"	"TSPO"
"232"	1.58975449064456e-09	1.0027289898024	0.196	0.14	4.31093725228084e-05	"4"	"JUND"
"233"	3.5415982596173e-09	0.930488570302438	0.135	0.083	9.60375200060424e-05	"4"	"CSF3R"
"234"	6.59827649002153e-09	0.94972359896032	0.136	0.086	0.000178925463579914	"4"	"RGS2"
"235"	2.08144700211718e-08	0.878975378072149	0.168	0.115	0.000564425983564117	"4"	"CSTA"
"236"	6.77341703973978e-08	1.00290206788874	0.181	0.133	0.00183674749866624	"4"	"MCL1"
"237"	2.12116004747898e-07	0.842305932288537	0.109	0.066	0.00575194970074875	"4"	"MPEG1"
